track_id,track_name,artist_name,album_name,popularity
5JCDVLwteSXuwVqjCa7SwH,O Rangrez,Shankar-Ehsaan-Loy,Bhaag Milkha Bhaag (Original Motion Picture Soundtrack),76
5FXMRdJjKq1BIX4e8Eg9mK,Ajab Si,Vishal-Shekhar,Om Shanti Om,78
1sYC1fG7s4p0pTykrJqmgW,Kyon,Pritam,Barfi! (Original Motion Picture Soundtrack),69
2tO0QPdCA0jgDBshTuYYkc,Woh Ladki Hai Kahan,Shaan,Dil Chahta Hai,68
1qTh7hzjd361hjuzeaMFWK,Hey Ya !,Clinton Cerejo,Karthik Calling Karthik,61
3hoXhwP0ub9LdSJV4olDIc,Tere Naina,Shankar-Ehsaan-Loy,My Name Is Khan (Original Motion Picture Soundtrack),68
0rxEPf4Y6uBmV3hkrV340a,Isq Risk,Sohail Sen,Mere Brother Ki Dulhan,69
5iyNH1Dmxif1k4Nl1gMeuh,Masakali,Mohit Chauhan,Delhi-6,68
6VBhH7CyP56BXjp8VsDFPZ,"Kesariya (From ""Brahmastra"")",Pritam,"Kesariya (From ""Brahmastra"")",77
3uL1IBFhg52VcQqOwAG01E,Mast Magan,Arijit Singh,2 States,75
4BTPzhEsyW3blWcxcuhLM0,Mitwa,Shankar-Ehsaan-Loy,Kabhi Alvida Naa Kehna (Original Motion Picture Soundtrack),77
6ZoCBDOB308GqUdt2AJrV2,Dildaara (Stand By Me),Vishal-Shekhar,Ra-One,70
3zAXHUL5YcYOA41rruvjy4,Manchala,Vishal-Shekhar,Hasee Toh Phasee (Original Motion Picture Soundtrack),66
1hQia6rxgfM1ly2hE3StWp,Ishq Wala Love,Vishal-Shekhar,Student of the Year (Original Motion Picture Soundtrack),75
4Yp8zw7b35bheMVTp39o5O,Kya Karoon?,Shankar-Ehsaan-Loy,Wake Up Sid (Original Motion Picture Soundtrack),55
39GcR1iJpR2RX629O0zuW5,Pehli Baar,Sukriti Kakar,Dil Dhadakne Do,54
08kTa3SL9sV6Iy8KLKtGql,Kasoor,Prateek Kuhad,Kasoor,65
0snQrp1VaY5Pj1YIHRJpRJ,Chaand Baaliyan,Aditya A,Chaand Baaliyan,74
3APdIdF8H0jsxSuGOqXedS,Kabhi Kabhi Aditi,Rashid Ali,Jaane Tu... Ya Jaane Na,73
723xQva0yBF7M6K3nDAG8R,Sooraj Ki Baahon Mein,Dominique Cerejo,Zindagi Na Milegi Dobara,66
0og9wKFGgFFNQnrBe7eisG,Uff Teri Adaa,Shankar Mahadevan,Karthik Calling Karthik,72
5BE6214zFFNKBCYYj1sFpu,Ye Jawaani Teri,Sachin-Jigar,Meri Pyaari Bindu,49
